CC_Tem,CC_Speed,CC_Particle Size,CC_Inner Diameter,CC_Length,CC_PhaseA_W_per,CC_PhaseA_O_per,CC_PhaseA_FA_per,CC_PhaseA_TFA_per,CC_PhaseB_O_pKa,CC_PhaseB_O_per,CC_PhaseB_W_per,CC_PhaseB_FA_per,CC_PhaseB_TFA_per,CC_RT-initial,CC_RT-final,CC_time
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
40,0.4,1.6,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,0.5,95,10
